norad,nome,categoria_n2yo,categoria_coleta,no_recorte
6990,,Strela,,não
6991,,Strela,,não
6992,,Strela,,não
7003,,Space & Earth Science,,não
7005,,Military,,não
7008,,Tsiklon,,não
7094,,Tsiklon,,não
7209,,Space & Earth Science,,não
7213,,Experimental,,não
7218,,Space & Earth Science,,não
7224,,Space & Earth Science,,não
7229,,Geostationary,,não
7229,,Raduga,,não
7244,,Military,,não
7250,,Geostationary,,não
7265,,Strela,,não
7266,,Strela,,não
7267,,Strela,,não
7268,,Strela,,não
7269,,Strela,,não
7270,,Strela,,não
7271,,Strela,,não
7272,,Strela,,não
7274,,Space & Earth Science,,não
7276,,Molniya,,não
7281,,Geodetic,,não
7291,,Military,,não
7297,,Military,,não
7298,,Geostationary,,não
7315,,Space & Earth Science,,não
7318,,Geostationary,,não
7337,,Radar Calibration,,não
7349,,Tsiklon,,não
7363,,Space & Earth Science,,não
7369,,Engineering,,não
7376,,Molniya,,não
7392,,Molniya,,não
7411,,Space & Earth Science,,não
7424,,Geodetic,,não
7433,,Strela,,não
7435,,Strela,,não
7436,,Strela,,não
7437,,Strela,,não
7438,,Strela,,não
7439,,Strela,,não
7440,,Strela,,não
7441,,Strela,,não
7442,,Strela,,não
7466,,Geostationary,,não
7476,,Tsiklon,,não
7490,,Space & Earth Science,,não
7529,,Amateur radio,,não
7529,,NOAA,,não
7530,,Amateur radio,,não
7531,,Space & Earth Science,,não
7544,,Intelsat,,não
7547,,Geostationary,,não
7567,,Space & Earth Science,,não
7574,,Space & Earth Science,,não
7578,,Geostationary,,não
7593,,Parus,,não
7615,,Earth resources,,não
7625,,Military,,não
7646,,Geodetic,,não
7648,,Geostationary,,não
7663,,Geodetic,,não
7678,,Strela,,não
7679,,Strela,,não
7680,,Strela,,não
7681,,Strela,,não
7682,,Strela,,não
7683,,Strela,,não
7684,,Strela,,não
7685,,Strela,,não
7687,,Military,,não
7714,,Space & Earth Science,,não
7718,,Military,,não
7727,,Military,,não
7734,,Space & Earth Science,,não
7736,,Parus,,não
7768,,Tsiklon,,não
7780,,Molniya,,não
7790,,Geostationary,,não
7815,,Intelsat,,não
7816,,Weather,,não
7820,,Strela,,não
7822,,Strela,,não
7823,,Strela,,não
7824,,Strela,,não
7825,,Strela,,não
7826,,Strela,,não
7827,,Strela,,não
7828,,Strela,,não
7915,,Space & Earth Science,,não
7924,,Weather,,não
7937,,Military,,não
7947,,Space & Earth Science,,não
7963,,Geostationary,,não
8026,,Space & Earth Science,,não
8072,,Parus,,não
8108,,Space & Earth Science,,não
8132,,Geostationary,,não
8195,,Molniya,,não
8197,,Engineering,,não
8199,,Space & Earth Science,,não
8285,,Strela,,não
8286,,Strela,,não
8287,,Strela,,não
8288,,Strela,,não
8289,,Strela,,não
8290,,Strela,,não
8291,,Strela,,não
8292,,Strela,,não
8293,,Space & Earth Science,,não
8325,,Geodetic,,não
8330,,Intelsat,,não
8343,,Strela,,não
8357,,Military,,não
8366,,GOES,,não
8419,,Parus,,não
8458,,Strela,,não
8459,,Brightest,,não
8473,,Military,,não
8476,,Geostationary,,não
8482,,Military,,não
8510,,Space & Earth Science,,não
8513,,Raduga,,não
8519,,Space & Earth Science,,não
8582,,Space & Earth Science,,não
